month,meter,unit,type,cons,rate,band,actual_consumption_charge,actual_tax,actual_csrv,actual_total,expected_cc,expected_stamp,expected_csrv,expected_total,total_diff,pct_error,status
05,94246769,Offices-6-3-7/8,ELECTRICITY,590.862,2.64,2,1560.88,18.0,20.0,1598.882,1559.88,18.91,20,1598.79,0.09,0.01,CLOSE
05,94246783,Offices-4-3-13,ELECTRICITY,423.195,2.64,2,1117.88,13.0,20.0,1150.876,1117.23,13.54,20,1150.77,0.11,0.01,CLOSE
05,94246790,Offices-4-1-11,ELECTRICITY,8.158,1.62,0,13.58,0.0,5.0,18.576,13.22,0.26,5,18.48,0.1,0.54,CLOSE
05,94246793,Offices-7-4-4,ELECTRICITY,0.0,1.62,0,9.1,0.0,0.0,9.1,0.0,0.0,5,9.1,0.0,0.0,MATCH
05,94246771,Offices-7-4-5,ELECTRICITY,182.909,2.16,1,396.04,5.0,15.0,416.036,395.08,5.85,15,415.93,0.11,0.03,CLOSE
05,94246780,Offices-6-2-8,ELECTRICITY,279.893,2.64,2,739.97,8.0,20.0,767.973,738.92,8.96,20,767.88,0.09,0.01,CLOSE
05,94246768,Offices-6-1-2,ELECTRICITY,2025.652,2.79,4,5652.49,64.0,40.0,5756.489,5651.57,64.82,40,5756.39,0.1,0.0,CLOSE
05,94246781,Offices-5-1-1-2,ELECTRICITY,972.524,2.74,3,2664.93,31.0,25.0,2720.935,2664.72,31.12,25,2720.84,0.09,0.0,CLOSE
05,94246782,Offices-6-2-11,ELECTRICITY,332.23,2.64,2,877.82,10.0,20.0,907.818,877.09,10.63,20,907.72,0.1,0.01,CLOSE
05,94246770,Offices-7-1-9,ELECTRICITY,426.377,2.64,2,1126.38,13.0,20.0,1159.379,1125.64,13.64,20,1159.28,0.1,0.01,CLOSE
05,94246791,Offices-2-4-1,ELECTRICITY,740.85,2.74,3,2030.74,23.0,25.0,2078.736,2029.93,23.71,25,2078.64,0.1,0.0,CLOSE
05,94246802,Offices-2-3-2,ELECTRICITY,0.03,1.62,0,9.1,0.0,0.0,9.1,0.05,0.0,5,9.1,0.0,0.0,MATCH
